Warehouse location ID;Slot X;Slot Y;Article;Quantity
7;0;0;Article982;0
7;1;0;;0
7;2;0;Article371;0
7;3;0;Article875;0
7;4;0;Article21;0
7;0;1;;0
7;1;1;;0
7;2;1;Article531;0
7;3;1;Article94;0
7;4;1;;0
7;0;2;;0
7;1;2;;0
7;2;2;;0
7;3;2;Article401;0
7;4;2;Article132;0
7;0;3;Article311;0
7;1;3;Article383;0
7;2;3;Article193;0
7;3;3;Article902;0
7;4;3;Article78;0
19;0;0;;0
19;1;0;;0
19;2;0;;0
19;3;0;Article169;0
19;4;0;;0
19;0;1;;0
19;1;1;Article459;0
19;2;1;;0
19;3;1;;0
19;4;1;Article280;0
19;0;2;Article783;0
19;1;2;Article47;0
19;2;2;;0
19;3;2;Article316;0
19;4;2;Article59;0
19;0;3;;0
19;1;3;Article222;0
19;2;3;Article538;0
19;3;3;Article416;0
19;4;3;Article508;0
27;0;0;;0
27;1;0;Article484;0
27;2;0;Article141;0
27;3;0;Article710;0
27;4;0;;0
27;0;1;Article846;0
27;1;1;Article368;0
27;2;1;Article624;0
27;3;1;Article680;0
27;4;1;;0
27;0;2;;0
27;1;2;Article757;0
27;2;2;;0
27;3;2;Article740;0
27;4;2;Article863;0
27;0;3;Article519;0
27;1;3;Article661;0
27;2;3;;0
27;3;3;Article297;0
27;4;3;;0
35;0;0;Article65;0
35;1;0;;0
35;2;0;Article335;0
35;3;0;Article406;0
35;4;0;Article7;0
35;0;1;Article535;0
35;1;1;;0
35;2;1;Article730;0
35;3;1;Article986;0
35;4;1;Article385;0
35;0;2;;0
35;1;2;;0
35;2;2;Article859;0
35;3;2;Article549;0
35;4;2;Article652;0
35;0;3;Article999;0
35;1;3;;0
35;2;3;Article177;0
35;3;3;Article164;0
35;4;3;Article148;0
43;0;0;;0
43;1;0;Article137;0
43;2;0;Article704;0
43;3;0;Article672;0
43;4;0;Article590;0
43;0;1;Article724;0
43;1;1;;0
43;2;1;;0
43;3;1;Article717;0
43;4;1;Article448;0
43;0;2;;0
43;1;2;Article319;0
43;2;2;Article572;0
43;3;2;;0
43;4;2;Article420;0
43;0;3;Article221;0
43;1;3;Article673;0
43;2;3;Article267;0
43;3;3;Article987;0
43;4;3;Article550;0
51;0;0;Article761;0
51;1;0;Article707;0
51;2;0;;0
51;3;0;Article655;0
51;4;0;Article958;0
51;0;1;Article888;0
51;1;1;Article890;0
51;2;1;Article414;0
51;3;1;;0
51;4;1;;0
51;0;2;Article864;0
51;1;2;Article581;0
51;2;2;Article694;0
51;3;2;Article953;0
51;4;2;Article476;0
51;0;3;Article600;0
51;1;3;;0
51;2;3;Article894;0
51;3;3;Article442;0
51;4;3;Article980;0
74;0;0;Article825;0
74;1;0;Article528;0
74;2;0;;0
74;3;0;Article883;0
74;4;0;Article901;0
74;0;1;;0
74;1;1;Article899;0
74;2;1;;0
74;3;1;Article254;0
74;4;1;Article123;0
74;0;2;Article979;0
74;1;2;Article135;0
74;2;2;Article89;0
74;3;2;Article281;0
74;4;2;Article381;0
74;0;3;Article139;0
74;1;3;;0
74;2;3;Article949;0
74;3;3;Article889;0
74;4;3;Article107;0
75;0;0;;0
75;1;0;;0
75;2;0;Article800;0
75;3;0;;0
75;4;0;Article557;0
75;0;1;Article577;0
75;1;1;Article695;0
75;2;1;Article841;0
75;3;1;;0
75;4;1;Article728;0
75;0;2;Article924;0
75;1;2;;0
75;2;2;;0
75;3;2;;0
75;4;2;Article917;0
75;0;3;Article554;0
75;1;3;Article684;0
75;2;3;;0
75;3;3;;0
75;4;3;Article653;0
85;0;0;;0
85;1;0;Article833;0
85;2;0;;0
85;3;0;;0
85;4;0;Article227;0
85;0;1;Article636;0
85;1;1;Article651;0
85;2;1;Article921;0
85;3;1;Article603;0
85;4;1;Article366;0
85;0;2;;0
85;1;2;Article423;0
85;2;2;Article828;0
85;3;2;Article802;0
85;4;2;;0
85;0;3;Article596;0
85;1;3;Article911;0
85;2;3;Article547;0
85;3;3;Article102;0
85;4;3;Article218;0
92;0;0;Article248;0
92;1;0;Article747;0
92;2;0;;0
92;3;0;;0
92;4;0;Article510;0
92;0;1;Article682;0
92;1;1;Article134;0
92;2;1;Article412;0
92;3;1;Article34;0
92;4;1;;0
92;0;2;;0
92;1;2;Article780;0
92;2;2;;0
92;3;2;Article850;0
92;4;2;Article239;0
92;0;3;;0
92;1;3;Article639;0
92;2;3;Article457;0
92;3;3;;0
92;4;3;Article342;0
97;0;0;Article79;0
97;1;0;Article284;0
97;2;0;Article403;0
97;3;0;Article203;0
97;4;0;Article431;0
97;0;1;Article437;0
97;1;1;Article494;0
97;2;1;Article151;0
97;3;1;Article525;0
97;4;1;Article108;0
97;0;2;Article216;0
97;1;2;Article182;0
97;2;2;;0
97;3;2;;0
97;4;2;Article845;0
97;0;3;Article62;0
97;1;3;;0
97;2;3;Article553;0
97;3;3;Article491;0
97;4;3;;0
101;0;0;;0
101;1;0;Article91;0
101;2;0;Article22;0
101;3;0;Article35;0
101;4;0;Article627;0
101;0;1;Article759;0
101;1;1;Article29;0
101;2;1;;0
101;3;1;;0
101;4;1;Article463;0
101;0;2;Article45;0
101;1;2;;0
101;2;2;Article486;0
101;3;2;Article338;0
101;4;2;Article149;0
101;0;3;Article874;0
101;1;3;Article95;0
101;2;3;Article723;0
101;3;3;Article118;0
101;4;3;Article157;0
113;0;0;;0
113;1;0;Article426;0
113;2;0;Article500;0
113;3;0;Article964;0
113;4;0;Article124;0
113;0;1;Article154;0
113;1;1;;0
113;2;1;;0
113;3;1;Article396;0
113;4;1;;0
113;0;2;Article893;0
113;1;2;Article944;0
113;2;2;Article485;0
113;3;2;Article729;0
113;4;2;;0
113;0;3;;0
113;1;3;Article161;0
113;2;3;Article641;0
113;3;3;;0
113;4;3;Article293;0
117;0;0;Article956;0
117;1;0;Article377;0
117;2;0;;0
117;3;0;Article458;0
117;4;0;;0
117;0;1;Article354;0
117;1;1;Article8;0
117;2;1;Article516;0
117;3;1;;0
117;4;1;;0
117;0;2;Article878;0
117;1;2;Article418;0
117;2;2;Article320;0
117;3;2;Article106;0
117;4;2;Article927;0
117;0;3;Article920;0
117;1;3;Article374;0
117;2;3;;0
117;3;3;;0
117;4;3;Article922;0
122;0;0;Article86;0
122;1;0;Article301;0
122;2;0;Article255;0
122;3;0;Article629;0
122;4;0;Article314;0
122;0;1;Article328;0
122;1;1;;0
122;2;1;Article521;0
122;3;1;Article506;0
122;4;1;Article906;0
122;0;2;Article178;0
122;1;2;Article871;0
122;2;2;Article854;0
122;3;2;;0
122;4;2;Article223;0
122;0;3;Article719;0
122;1;3;Article231;0
122;2;3;;0
122;3;3;;0
122;4;3;Article469;0
129;0;0;Article128;0
129;1;0;;0
129;2;0;Article711;0
129;3;0;Article433;0
129;4;0;;0
129;0;1;;0
129;1;1;Article609;0
129;2;1;Article737;0
129;3;1;Article905;0
129;4;1;Article598;0
129;0;2;Article76;0
129;1;2;Article690;0
129;2;2;Article339;0
129;3;2;;0
129;4;2;;0
129;0;3;;0
129;1;3;Article782;0
129;2;3;Article309;0
129;3;3;Article764;0
129;4;3;Article575;0
