Warehouse location ID;Slot X;Slot Y;Article;Quantity
10;0;0;;0
10;1;0;;0
10;2;0;;0
10;3;0;;0
10;4;0;;0
21;0;0;SKU521;0
21;1;0;SKU557;0
21;2;0;SKU340;0
21;3;0;;0
21;4;0;;0
30;0;0;SKU666;0
30;1;0;SKU402;0
30;2;0;SKU700;0
30;3;0;SKU289;0
30;4;0;SKU249;0
39;0;0;SKU198;0
39;1;0;SKU395;0
39;2;0;SKU48;0
39;3;0;;0
39;4;0;SKU176;0
48;0;0;SKU492;0
48;1;0;;0
48;2;0;SKU539;0
48;3;0;SKU161;0
48;4;0;SKU677;0
63;0;0;SKU42;0
63;1;0;SKU717;0
63;2;0;SKU489;0
63;3;0;SKU609;0
63;4;0;SKU76;0
74;0;0;SKU675;0
74;1;0;SKU414;0
74;2;0;;0
74;3;0;SKU107;0
74;4;0;SKU205;0
83;0;0;SKU508;0
83;1;0;SKU92;0
83;2;0;;0
83;3;0;SKU200;0
83;4;0;SKU36;0
92;0;0;SKU221;0
92;1;0;SKU415;0
92;2;0;SKU403;0
92;3;0;SKU159;0
92;4;0;SKU70;0
101;0;0;SKU545;0
101;1;0;SKU511;0
101;2;0;;0
101;3;0;SKU4;0
101;4;0;;0
126;0;0;SKU248;0
126;1;0;SKU733;0
126;2;0;SKU122;0
126;3;0;SKU293;0
126;4;0;SKU601;0
130;0;0;SKU213;0
130;1;0;SKU251;0
130;2;0;SKU721;0
130;3;0;SKU637;0
130;4;0;SKU309;0
154;0;0;SKU583;0
154;1;0;SKU392;0
154;2;0;;0
154;3;0;SKU111;0
154;4;0;SKU672;0
163;0;0;SKU594;0
163;1;0;SKU45;0
163;2;0;SKU24;0
163;3;0;SKU271;0
163;4;0;SKU691;0
165;0;0;SKU52;0
165;1;0;SKU474;0
165;2;0;SKU543;0
165;3;0;SKU305;0
165;4;0;SKU726;0
167;0;0;SKU191;0
167;1;0;SKU738;0
167;2;0;SKU222;0
167;3;0;SKU182;0
167;4;0;SKU572;0
174;0;0;SKU706;0
174;1;0;SKU186;0
174;2;0;SKU711;0
174;3;0;SKU455;0
174;4;0;SKU596;0
176;0;0;;0
176;1;0;SKU171;0
176;2;0;SKU341;0
176;3;0;SKU512;0
176;4;0;SKU166;0
188;0;0;SKU580;0
188;1;0;SKU185;0
188;2;0;SKU439;0
188;3;0;;0
188;4;0;SKU577;0
194;0;0;SKU632;0
194;1;0;SKU215;0
194;2;0;;0
194;3;0;SKU360;0
194;4;0;SKU501;0
217;0;0;SKU685;0
217;1;0;SKU466;0
217;2;0;SKU386;0
217;3;0;;0
217;4;0;SKU467;0
