Warehouse location ID;Slot X;Slot Y;Article;Quantity
10;0;0;;0
10;1;0;SKU256;0
10;2;0;;0
10;3;0;;0
10;4;0;;0
10;0;1;;0
10;1;1;SKU53;0
10;2;1;SKU600;0
10;3;1;;0
10;4;1;SKU729;0
10;0;2;;0
10;1;2;SKU158;0
10;2;2;;0
10;3;2;SKU583;0
10;4;2;SKU70;0
10;0;3;;0
10;1;3;SKU97;0
10;2;3;;0
10;3;3;SKU410;0
10;4;3;SKU673;0
10;0;4;SKU54;0
10;1;4;SKU383;0
10;2;4;;0
10;3;4;;0
10;4;4;SKU678;0
10;0;5;SKU514;0
10;1;5;;0
10;2;5;SKU107;0
10;3;5;;0
10;4;5;;0
10;0;6;SKU568;0
10;1;6;SKU559;0
10;2;6;;0
10;3;6;;0
10;4;6;SKU192;0
10;0;7;SKU656;0
10;1;7;SKU98;0
10;2;7;SKU319;0
10;3;7;SKU175;0
10;4;7;SKU24;0
10;0;8;;0
10;1;8;SKU141;0
10;2;8;SKU456;0
10;3;8;SKU45;0
10;4;8;SKU228;0
10;0;9;SKU294;0
10;1;9;;0
10;2;9;SKU556;0
10;3;9;SKU608;0
10;4;9;SKU46;0
21;0;0;;0
21;1;0;;0
21;2;0;SKU524;0
21;3;0;SKU195;0
21;4;0;;0
21;0;1;;0
21;1;1;SKU148;0
21;2;1;SKU285;0
21;3;1;;0
21;4;1;SKU301;0
21;0;2;SKU685;0
21;1;2;;0
21;2;2;;0
21;3;2;SKU526;0
21;4;2;SKU323;0
21;0;3;SKU253;0
21;1;3;SKU624;0
21;2;3;SKU542;0
21;3;3;SKU469;0
21;4;3;;0
21;0;4;SKU381;0
21;1;4;;0
21;2;4;SKU701;0
21;3;4;SKU733;0
21;4;4;SKU188;0
21;0;5;SKU305;0
21;1;5;;0
21;2;5;SKU420;0
21;3;5;;0
21;4;5;;0
21;0;6;SKU525;0
21;1;6;SKU538;0
21;2;6;SKU289;0
21;3;6;SKU109;0
21;4;6;SKU259;0
21;0;7;SKU250;0
21;1;7;;0
21;2;7;;0
21;3;7;SKU494;0
21;4;7;SKU698;0
21;0;8;SKU180;0
21;1;8;SKU200;0
21;2;8;SKU422;0
21;3;8;SKU193;0
