Warehouse location ID;Slot X;Slot Y;Article;Quantity
11;0;0;A44;0
11;1;0;A08;0
11;2;0;A05;0
11;3;0;A42;0
11;4;0;A30;0
11;0;1;A01;0
11;1;1;A36;0
11;2;1;A02;0
11;3;1;A11;0
11;4;1;A38;0
11;0;2;A15;0
11;1;2;A34;0
11;2;2;A33;0
11;3;2;A07;0
11;4;2;A03;0
11;0;3;A14;0
11;1;3;A35;0
11;2;3;A29;0
11;3;3;A28;0
11;4;3;A46;0
11;0;4;A25;0
11;1;4;A13;0
11;2;4;A16;0
11;3;4;A23;0
11;4;4;A18;0
12;0;0;A50;0
12;1;0;A49;0
12;2;0;A20;0
12;3;0;A06;0
12;4;0;A31;0
12;0;1;A40;0
12;1;1;A12;0
12;2;1;A41;0
12;3;1;A37;0
12;4;1;A47;0
12;0;2;A09;0
12;1;2;A04;0
12;2;2;A32;0
12;3;2;A22;0
12;4;2;A43;0
12;0;3;A21;0
12;1;3;A24;0
12;2;3;A17;0
12;3;3;A27;0
12;4;3;A45;0
12;0;4;A26;0
12;1;4;A10;0
12;2;4;A19;0
12;3;4;A48;0
12;4;4;A39;0
