Warehouse location ID;Slot X;Slot Y;Article;Quantity
11;0;0;A07;0
11;1;0;A10;0
11;2;0;A12;0
11;3;0;;0
11;4;0;A09;0
11;0;1;A14;0
11;1;1;;0
11;2;1;A15;0
11;3;1;;0
11;4;1;;0
11;0;2;A11;0
11;1;2;;0
11;2;2;;0
11;3;2;;0
11;4;2;;0
11;0;3;;0
11;1;3;;0
11;2;3;;0
11;3;3;;0
11;4;3;;0
11;0;4;;0
11;1;4;;0
11;2;4;;0
11;3;4;;0
11;4;4;;0
11;0;5;;0
11;1;5;;0
11;2;5;;0
11;3;5;;0
11;4;5;;0
12;0;0;A01;0
12;1;0;A05;0
12;2;0;A13;0
12;3;0;;0
12;4;0;;0
12;0;1;A04;0
12;1;1;A03;0
12;2;1;A08;0
12;3;1;;0
12;4;1;;0
12;0;2;A02;0
12;1;2;A06;0
12;2;2;;0
12;3;2;;0
12;4;2;;0
12;0;3;;0
12;1;3;;0
12;2;3;;0
12;3;3;;0
12;4;3;;0
12;0;4;;0
12;1;4;;0
12;2;4;;0
12;3;4;;0
12;4;4;;0
12;0;5;;0
12;1;5;;0
12;2;5;;0
12;3;5;;0
12;4;5;;0
